Identifier,Name,Downloaded,Risk
obifanppcpchlehkjipahhphbcbjekfa,Telegram Multi-account,0,Stealer
mdcfennpfgkngnibjbpnpaafcjnhcjno,Web Client for Telegram - Teleside,0,Stealer
mmecpiobcdbjkaijljohghhpfgngpjmk,YouSide - Youtube Sidebar,0,Stealer
bfoofgelpmalhcmedaaeogahlmbkopfd,Web Client for Youtube - SideYou,0,Stealer
cbfhnceafaenchbefokkngcbnejached,Web Client for TikTok,0,Stealer
ogogpebnagniggbnkbpjioobomdbmdcj,Text Translation,0,Stealer
ldmnhdllijbchflpbmnlgndfnlgmkgif,Page Locker,0,Stealer
lnajjhohknhgemncbaomjjjpmpdigedg,Page Auto Refresh,0,Stealer
aecccajigpipkpioaidignbgbeekglkd,Web Client for Rugby Rush - SideGame,0,Stealer
akebbllmckjphjiojeioooidhnddnplj,Formula Rush Racing Game,0,Stealer
akifdnfipbeoonhoeabdicnlcdhghmpn,Piggy Prizes - Slot Machine,0,Stealer
akkkopcadaalekbdgpdikhdablkgjagd,Slot Arabian,0,Stealer
alkfljfjkpiccfgbeocbbjjladigcleg,Frogtastic,0,Stealer
alllblhkgghelnejlggmmgjbkdabidie,Black Beard Slot Machine,0,Stealer
amkkjdjjgiiamenbopfpdmjcleecjjgg,Indian - Slot Machine,0,Stealer
amnaljnjmgajgajelnplfmidgjgbjfhe,Mahjong Deluxe,0,Stealer
bbjdlbemjklojnbifkgameepcafflmem,Crazy Freekick,0,Stealer
bdnanfggeppmkfhkgmpojkhanoplkacc,Slot Car Racing,0,Stealer
bgdkbjcdecedfoejdfgeafdodjgfohno,Clear Cache Plus,0,Stealer
bnchgibgpgmlickioneccggfobljmhjc,Galactica Delux - Slot Machine,0,Stealer
bpljfbcejldmgeoodnogeefaihjdgbam,Speed Test for Chrome - WiFi SpeedTest,0,Stealer
cbnekafldflkmngbgmbnfmchjaelnhem,Game SkySpeedster,0,Stealer
cdpiopekjeonfjeocbfebemgocjciepp,Master Chess,0,Stealer
cehdkmmfadpplgchnbjgdngdcjmhlfcc,Hockey Shootout,0,Stealer
cljengcehefhflhoahaambmkknjekjib,Odds Of The Gods - Slot Machine,0,Stealer
clpgopiimdjcilllcjncdkoeikkkcfbi,Billiards Pro,0,Stealer
cmeoegkmpbpcoabhlklbamfeidebgmdf,Three Card Poker,0,Stealer
cmlbghnlnbjkdgfjlegkbjmadpbmlgjb,Donuts - Slot Machine,0,Stealer
cnibdhllkgidlgmaoanhkemjeklneolk,Archer - Slot Machine,0,Stealer
cpnfioldnmhaihohppoaebillnambcgn,Rugby Rush,0,Stealer
dbohcpohlgnhgjmfkakoniiplglpfhcb,Bingo,0,Stealer
dcamdpfclondppklabgkfaofjccpioil,Web Client for game Cricket Batter Challenge,0,Stealer
dljlpildgknddpnahppkihgodokfjbnd,Slot Machine Zeus Treasures,0,Stealer
dlpiookhionidajbiopmaajeckifeehn,Horse Racing,0,Stealer
dmaibhbbpmdihedidicfeigilkbobcog,Aztec - Slot Machine,0,Stealer
dohenclhhdfljpjlnpjnephpccbdgmmb,Straight 4,0,Stealer
dpdemambcedffmnkfmkephnhhnclmcio,Slot The Gold Pot,0,Stealer
ejlcbfmhjbkgohopdkijfgggbikgbacb,American Roulette Royale,0,Stealer
eljfpgehlncincemdmmnebmnlcmfamhm,Asia Slot,0,Stealer
enmmilgindjmffoljaojkcgloakmloen,Web Client for game Drive Your Car,0,Stealer
eoklnfefipnjfeknpmigmogeeepddcch,Jurassic Giants - Slot Machine,0,Stealer
fddajeklkkggbnppabbhkdmnkdjindlo,Street Basketball,0,Stealer
fibgndhgobbaaekmnneapojgkcehaeac,Tarot Side Panel,0,Stealer
fjfhejmbhpabkacpoddjbcfandjoacmb,Dragon Slayer - Slot Machine,0,Stealer
flkdjodmoefccepdihipjdlianmkmhgc,Best Blackjack,0,Stealer
fmajpchoiahphjiligpmghnhmabolhoh,Book Of Magic - Slot Machine,0,Stealer
gaafhblhbnkekenogcjniofhbicchlke,Snake - Slot Machine,0,Stealer
gbaoddbbpompjhmilbgiaapkkakldlpc,Dice King - Classic Craps And Roll Game,0,Stealer
gbhhgipmedccnankkjchgcidiigmioio,Slot Ramses,0,Stealer
gfhcdakcnpahfdealajmhcapnhhablbp,Battleship War,0,Stealer
gipmochingljoikdjakkdolfcbphmlom,Gold Miner 2,0,Stealer
glofhphmolanicdaddgkmhfmjidjkaem,Greyhound Racing - Dog Race Simulator,0,Stealer
haochenfmhglpholokliifmlpafilfdc,Hercules: Sports Legend,0,Stealer
hbobdcfpgonejphpemijgjddanoipbkj,Flicking Soccer,0,Stealer
hdmppejcahhppjhkncagagopecddokpi,Voodoo Magic - Slot Machine,0,Stealer
heljkmdknlfhiecpknceodpbokeipigo,Web Client for Hockey Shootout - SideGame,0,Stealer
hiofkndodabpioiheinoiojjobadpgmj,MASTER CHECKERS,0,Stealer
hkbihmjhjmehlocilifheeaeiljabenb,Watercraft Rush,0,Stealer
hlmdnedepbbihmbddepemmbkenbnoegd,Car Rush,0,Stealer
hmlnefhgicedcmebmkjdcogieefbaagl,Video Poker Deuces Wild,0,Stealer
hnpbijogiiaegambgpaenjbcbgaeimlf,Slot Machine Ultimate Soccer,0,Stealer
ibelidmkbnjmmpjgfibbdbkamgcbnjdm,Christmas Eve - Slot Machine,0,Stealer
ihbkmfoadnfjgkpdmgcboiehapkiflme,Columbus Voyage - Slot Machine,0,Stealer
ijccacgjefefdpglhclnbpfjlcbagafm,High or Low Casino Game,0,Stealer
ijfmkphjcogaealhjgijjfjlkpdhhojk,Goalkeeper Challenge,0,Stealer
ijpgccpmogehkjhdmomckpkfcpbjlmnj,Tropical Beach - Slot Machine,0,Stealer
imjmnghlhiimodfkdkgnfplhlobehnpm,BlackJack 3D,0,Stealer
jddinhnhplibccfmniaakhffpjpnaglp,Web Client for game Classic Bowling,0,Stealer
jmopjanoebpdbopigcbpjhiigmjolikk,Raging Zeus Mines,0,Stealer
jnmmbmkmbkcccpihjgnhjmhhkokfdnfe,Classic Backgammon,0,Stealer
jodocbbdcdclkhjkibnlfhbmllcpfkfo,Slot Machine The Fruits,0,Stealer
kahcolfecjbejjjadhjafmihdnifonjf,Baccarat,0,Stealer
kblomapfkjidbbbdllmofkcakcenkmec,Mini Golf World,0,Stealer
kbmindomjiejdikjaagfdbdfpnlanobi,Gold Rush - Slot Machine,0,Stealer
kbnkkecifeppobnemkielnpagifkobki,Pirat Slot,0,Stealer
kjnakdbpijigdbfepipnbafnhbcfdkga,40 Imperial Crown - Slot Machine,0,Stealer
kknakidneabpfgepadgpkibalcnabnnh,3D Soccer Slot Machine,0,Stealer
klglejfbdeipgklgaepnodpjcnhaihkd,Premium Horse Racing,0,Stealer
kmiidcaojgeepjlccoalkdimgpfnbagj,Tanks Game,0,Stealer
lcijkepobdokkgmefebkiejhealgblle,Caribbean Stud Poker,0,Stealer
lefndgfmmbdklidbkeifpgclmpnhcilg,Wild Buffalo - Slot Machine,0,Stealer
lfkknbmaifjomagejflmjklcmpadmmdg,Aqua - Slot Machine,0,Stealer
ljbgkfbiifhpgpipepnfefijldolkhlm,Game Crypto Merge,0,Stealer
lmcpbhamfpbonaenickjclacodolkbdl,Sherwood Forest - Slot Machine,0,Stealer
lmgenhmehbcolpikplhkoelmagdhoojn,Web Client for game Fatboy Dream,0,Stealer
maeccdadgnadblfddcmanhpofobhgfme,Lone Star Jackpots - Slot Machine,0,Stealer
medkneifmjcpgmmibfppjpfjbkgbgebl,Hidden Kitty Game,0,Stealer
mheomooihiffmcgldolenemmplpgoahn,Keno,0,Stealer
mmbbjakjlpmndjlbhihlddgcdppblpka,Jokers Bonanza - Slot Machine,0,Stealer
mmbkmjmlnhocfcnjmbchmflamalekbnb,Penalty Kicks,0,Stealer
nbgligggjfgkpphhghhjdoiefbimgooc,Pai Gow Poker,0,Stealer
ncpdkpcgmdhhnmcjgiiifdhefmekdcnf,Metal Calculator,0,Stealer
ndajcmifndknmkckdcdefkpgcodciggk,Farm - Slot Machine,0,Stealer
nelbpdjegmhhgpfcjclhdmkcglimkjpp,Rail Maze Puzzle,0,Stealer
nkacmelgoeejhjgmmgflbcdhonpaplcg,RED DOG CARD GAME,0,Stealer
nmegibgeklckejdlfhoadhhbgcdjnojb,Coin Miner 2,0,Stealer
nodobilhjanebkafmpihkpoabiggnnfl,Black Ninja - Slot Machine,0,Stealer
oanpifaoclmgmflmddlgkikfaggejobn,Pyramid Solitaire,0,Stealer
ocflhkadmmnlbieoiiekfcdcmjcfeahe,Chrome Client for Downhill Ski - SideGame,0,Stealer
odeccdcabdffpebnfancpkepjeecempn,Slot Machine Mr Chicken,0,Stealer
oejhnncfanbaogjlbknmlgjpleachclf,Web Client for French Roulette - SideGame,0,Stealer
ogbaedmbbmmipljceodeimlckohbnfan,3D Roulette Casino Game,0,Stealer
ojkbafekojdcedacileemekjdfdpkbkf,Slot Machine Space Adventure,0,Stealer
pdgaknahllnfldmclpcllpieafkaibmf,Whack 'em All,0,Stealer
peflgkmfmoijonfgcjdlpnnfdegnlaji,Video Poker Jacks or Better,0,Stealer
phfkdailnomcbcknpdmokejhellbecjb,Swimming Pro,0,Stealer
pkghgkfjhjghinikeanecbgjehojfhdg,InterAlt,0,Stealer
pllkanemicadpcmkfodglahcocfdgkhj,Gold of Egypt - Slot Machine,0,Stealer